"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"259","30","小麦粉(标准粉)","","","100%","12.7g","1497kJ","11.2g","1.5g","","1.0g","73.6g","","","","—","0.28mg","0.08mg","2.00mg","","31mg","188mg","190mg","3.1mg","50mg","3.5mg","1.64mg","5.40μg","0.42mg","1.56mg","","30.3%","24.1%","44.8%","99.2%"
"260","30","小麦粉(富强粉，特一粉)","","","100%","12.7g","1494kJ","10.3g","1.1g","","0.7g","75.2g","","","","—","0.17mg","0.06mg","2.00mg","","27mg","114mg","128mg","2.7mg","32mg","2.7mg","0.97mg","6.90μg","0.26mg","0.77mg","","30.3%","24.1%","44.8%","99.2%"
"261","30","挂面(均值)","","","100%","12.3g","1483kJ","10.3g","0.6g","","1.2g","75.6g","","","","—","0.19mg","0.04mg","2.50mg","","17mg","134mg","129mg","184.5mg","49mg","3.0mg","0.94mg","11.80μg","0.39mg","0.92mg","","—","—","—","—"
"262","30","挂面(标准粉)","","","100%","12.4g","1490kJ","10.1g","0.7g","","0.8g","76.0g","","","","—","0.19mg","0.04mg","2.50mg","","14mg","153mg","157mg","150.0mg","51mg","3.5mg","1.22mg","9.90μg","0.44mg","1.28mg","","30.3%","24.1%","44.8%","99.2%"
"263","30","挂面(富强粉)","","","100%","12.7g","1477kJ","9.6g","0.6g","","1.1g","76.0g","","","","—","0.20mg","0.04mg","2.40mg","","21mg","112mg","122mg","110.6mg","48mg","3.2mg","0.74mg","11.10μg","0.40mg","0.68mg","","30.3%","24.1%","44.8%","99.2%"
"264","30","面条(均值)","","","100%","28.5g","1219kJ","8.3g","0.7g","","0.6g","61.9g","","","","—","0.22mg","0.07mg","1.40mg","","11mg","162mg","135mg","28.0mg","39mg","3.6mg","1.43mg","11.70μg","0.17mg","0.86mg","","—","—","—","—"
"265","30","面条(标准粉，切面)","","","100%","29.7g","1215kJ","8.5g","1.6g","","0.7g","59.5g","","","","—","0.35mg","0.10mg","3.10mg","","13mg","142mg","161mg","3.4mg","61mg","2.6mg","1.07mg","0.40μg","0.20mg","1.35mg","","—","—","—","—"
"266","30","面条(富强粉，切面)","","","100%","29.2g","1217kJ","9.3g","1.1g","","0.5g","59.9g","","","","—","0.18mg","0.04mg","2.20mg","","24mg","92mg","102mg","1.5mg","29mg","2.0mg","0.83mg","17.30μg","0.14mg","0.56mg","","—","—","—","—"
"267","30","面条(干切面)","","","100%","10.5g","1512kJ","11.0g","0.1g","","0.7g","77.7g","","","","—","0.28mg","0.05mg","2.70mg","","8mg","142mg","100mg","60.9mg","42mg","9.6mg","1.50mg","7.80μg","0.22mg","0.72mg","","—","—","—","—"
"268","30","通心面[通心粉]","","","100%","11.8g","1495kJ","11.9g","0.1g","","0.4g","75.8g","","","","—","0.12mg","0.03mg","1.00mg","","14mg","97mg","209mg","35.0mg","58mg","2.6mg","1.55mg","5.80μg","0.16mg","0.67mg","","—","—","—","—"
